edge_id,lon,lat,status
0,-0.2311611,5.674666899999999,http_400
0,-0.2309190520643635,5.674662256167249,http_400
0,-0.23067718050869054,5.67467100588647,http_400
0,-0.23043529902752025,5.674680386641268,http_400
0,-0.23019372427064014,5.674696139981596,http_400
0,-0.22995214951376008,5.674711893321494,http_400
0,-0.22971057475688003,5.674727646660961,http_400
0,-0.229469,5.6747434,http_400
1,-0.229469,5.6747434,http_400
1,-0.22971057475688003,5.674727646660961,http_400
1,-0.22995214951376008,5.674711893321494,http_400
1,-0.23019372427064014,5.674696139981596,http_400
1,-0.23043529902752025,5.674680386641268,http_400
1,-0.23067718050869054,5.67467100588647,http_400
1,-0.2309190520643635,5.674662256167249,http_400
1,-0.2311611,5.674666899999999,http_400
2,-0.229469,5.6747434,http_400
2,-0.22922655488032562,5.674756501476556,http_400
2,-0.22898383147193396,5.674762718925511,http_400
2,-0.22876962595613984,5.674846463228883,http_400
2,-0.2287285,5.6750796,http_400
3,-0.2287285,5.6750796,http_400
3,-0.22876962595613984,5.674846463228883,http_400
3,-0.22898383147193396,5.674762718925511,http_400
3,-0.22922655488032562,5.674756501476556,http_400
3,-0.229469,5.6747434,http_400
4,-0.2294603,5.6753742,http_400
4,-0.2294632,5.675163933410015,http_400
4,-0.22946609999999995,5.674953666743348,http_400
4,-0.229469,5.6747434,http_400
5,-0.229469,5.6747434,http_400
5,-0.22946609999999995,5.674953666743348,http_400
5,-0.2294632,5.675163933410015,http_400
5,-0.2294603,5.6753742,http_400
